rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
558.0,2982.0,5.3,31.0,87.0,697.0,8.0,5.0,69.0,198.0,4.55,19.0,34.0,112.0,6.7,4.09,21.0,1,2007
785.0,4590.0,5.8,41.0,46.0,365.0,7.9,2.0,73.0,211.0,4.33,19.0,33.0,128.0,7.005,4.23,21.0,1,2008
516.0,2891.0,5.6,27.0,49.0,334.0,6.8,4.0,70.0,235.0,4.46,28.0,36.5,128.0,7.005,4.23,21.0,1,2008
386.0,2956.0,7.7,20.0,39.0,383.0,9.8,3.0,70.0,207.0,4.44,19.0,33.5,124.0,6.9,4.19,21.0,1,2008
388.0,2539.0,6.5,22.0,59.0,564.0,9.6,5.0,70.0,225.0,4.41,26.0,33.5,117.0,7.005,4.18,21.0,1,2008
624.0,2982.0,4.8,32.0,125.0,1296.0,10.4,10.0,71.0,197.0,4.24,19.0,35.0,130.0,7.005,4.23,22.0,1,2008
833.0,4265.0,5.1,39.0,103.0,985.0,9.6,5.0,73.0,217.0,4.44,23.0,33.0,118.0,6.84,4.23,22.0,1,2008
910.0,4926.0,5.4,49.0,37.0,334.0,9.0,1.0,68.0,199.0,4.42,23.0,31.5,119.0,6.65,4.2,21.0,1,2008
905.0,4679.0,5.2,45.0,55.0,444.0,8.1,1.0,73.0,217.0,4.53,19.0,32.0,120.0,6.74,4.49,21.0,1,2008
533.0,3328.0,6.2,36.0,49.0,539.0,11.0,3.0,71.0,200.0,4.38,19.0,30.5,122.0,6.8,4.22,21.0,1,2008
664.0,3923.0,5.9,50.0,65.0,805.0,12.4,5.0,69.0,197.0,4.45,19.0,33.5,118.0,7.005,4.23,22.0,1,2008
697.0,3465.0,5.0,28.0,41.0,288.0,7.0,0.0,70.0,215.0,4.48,20.0,34.0,119.0,6.88,4.23,23.0,0,2008
333.0,1782.0,5.4,12.0,25.0,305.0,12.2,5.0,72.0,222.0,4.61,21.0,34.0,120.0,7.005,4.23,22.0,0,2008
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,71.0,228.0,4.52,17.0,31.0,112.0,7.005,4.23,23.0,0,2008
1015.0,5040.0,5.0,41.0,67.0,566.0,8.4,2.0,69.0,206.0,4.69,23.0,28.0,110.0,7.005,4.23,22.0,0,2008
371.0,1778.0,4.8,19.0,17.0,158.0,9.3,2.0,71.0,211.0,4.45,19.0,35.0,120.0,7.005,4.23,23.0,0,2008
567.0,3220.0,5.7,26.0,41.0,386.0,9.4,1.0,68.0,194.0,4.62,26.0,26.5,112.0,6.96,4.23,22.0,0,2008
498.0,2734.0,5.5,30.0,53.0,645.0,12.2,2.0,71.0,217.0,4.5,25.0,35.5,115.0,6.84,4.27,22.0,1,2009
698.0,3800.0,5.4,33.0,48.0,276.0,5.8,2.0,70.0,210.0,4.46,19.0,41.5,125.0,6.93,4.1,22.0,1,2009
