ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
77.0,312.0,5.37,25.0,25.0,91.0,8.15,5.01,23.0,0,2010
78.0,314.0,4.75,34.0,32.0,101.0,7.58,4.69,22.0,0,2010
75.0,297.0,5.21,35.0,26.0,105.0,7.5,4.73,21.0,1,2010
79.0,303.0,5.45,23.0,28.5,104.0,7.75,4.7,22.0,0,2010
77.0,314.0,5.18,29.0,27.0,96.0,7.75,4.7,23.0,0,2010
75.0,310.0,5.34,45.0,28.5,104.0,7.75,4.7,23.0,0,2010
77.0,319.0,5.52,19.0,22.5,90.0,8.24,5.03,23.0,0,2010
77.0,300.0,5.15,27.0,25.0,98.0,7.6,4.62,23.0,0,2010
76.0,325.0,5.12,27.0,32.5,103.0,7.84,4.9,23.0,0,2010
76.0,319.0,4.99,25.0,25.0,97.0,7.4,4.6,21.0,1,2010
80.0,316.0,5.2,29.0,29.5,104.0,7.73,4.87,23.0,0,2010
76.0,306.0,5.25,35.0,29.5,93.0,7.5,4.82,22.0,0,2010
78.0,307.0,5.42,29.0,29.0,105.0,7.67,4.8,23.0,0,2010
78.0,318.0,5.55,19.0,25.0,94.0,8.24,4.99,23.0,0,2010
77.0,307.0,4.93,29.0,28.5,104.0,7.75,4.7,20.0,2,2011
77.0,303.0,5.12,25.0,25.0,96.0,7.66,4.64,22.0,2,2011
80.0,319.0,4.96,21.0,32.0,110.0,7.44,4.34,23.0,2,2011
79.0,311.0,5.21,28.0,29.5,105.0,7.25,4.4,23.0,2,2011
75.0,310.0,5.36,29.0,26.0,92.0,7.61,4.62,26.0,1,2011
76.0,321.0,5.22,23.0,28.5,104.0,7.75,4.7,22.0,1,2011
79.0,314.0,5.18,29.0,31.5,109.0,7.75,4.7,23.0,1,2011
77.0,321.0,5.18,23.0,28.0,97.0,7.43,4.63,22.0,0,2011
77.0,316.0,5.11,26.0,28.5,104.0,7.75,4.7,23.0,2,2011
75.0,313.0,5.29,30.0,28.5,100.0,7.51,4.63,22.0,2,2011
76.0,317.0,5.2,25.0,28.5,104.0,7.75,4.7,22.0,0,2011
74.0,299.0,5.27,27.0,25.5,95.0,8.03,4.96,22.0,1,2011
78.0,330.0,5.41,30.0,28.5,104.0,7.75,4.7,23.0,2,2011
76.0,319.0,5.51,23.0,30.5,102.0,7.79,4.53,24.0,0,2011
75.0,309.0,5.39,29.0,23.5,99.0,7.91,4.94,21.0,1,2011
79.0,327.0,5.32,28.0,29.5,111.0,7.73,4.65,23.0,0,2011
77.0,325.0,5.31,29.0,29.0,103.0,8.27,4.75,23.0,0,2011
77.0,308.0,5.28,28.0,31.0,102.0,7.66,4.64,22.0,2,2011
78.0,323.0,5.21,25.0,26.0,100.0,7.84,4.81,23.0,0,2011
78.0,326.0,5.38,33.0,29.0,96.0,7.9,4.7,22.0,1,2011
77.0,358.0,5.26,33.0,30.5,105.0,8.07,4.97,23.0,2,2011
75.0,317.0,5.39,25.0,26.5,98.0,7.88,4.91,24.0,1,2011
74.0,301.0,5.12,23.0,31.0,104.0,7.46,4.59,23.0,0,2011
75.0,308.0,5.28,23.0,32.5,105.0,7.59,4.68,23.0,1,2011
76.0,306.0,5.18,26.0,28.5,108.0,7.29,4.43,23.0,2,2011
75.0,280.0,4.89,25.0,30.5,110.0,7.22,4.14,23.0,2,2011
