rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
119.0,1365.0,11.5,9.0,37.9,76.0,251.0,4.55,24.0,33.5,120.0,7.1,4.32,21.0,19.0,2004
73.0,945.0,12.9,7.0,19.7,75.0,258.0,4.5,34.0,35.5,123.0,7.38,4.11,23.0,19.0,2004
64.0,958.0,15.0,7.0,24.6,76.0,265.0,4.65,21.0,33.5,117.0,7.1,4.32,22.0,8.0,2004
88.0,1431.0,16.3,15.0,29.8,74.0,248.0,4.62,24.0,35.0,119.0,6.88,4.1,23.0,2.0,2004
24.0,225.0,9.4,3.0,6.4,76.0,263.0,4.8,23.0,35.0,117.0,7.1,3.98,24.0,0.0,2004
96.0,1255.0,13.1,11.0,44.8,75.0,265.0,4.87,22.0,33.0,115.0,7.21,4.19,22.0,34.0,2004
98.0,1346.0,13.7,9.0,36.4,77.0,260.0,4.93,25.0,34.5,115.0,6.99,4.13,23.0,1.0,2004
75.0,950.0,12.7,12.0,25.7,76.0,268.0,4.97,22.0,32.5,115.0,7.1,4.32,24.0,0.0,2004
55.0,649.0,11.8,3.0,13.2,76.0,263.0,5.0,21.0,28.0,109.0,7.4,4.32,23.0,2.0,2004
22.0,306.0,13.9,3.0,12.2,74.0,275.0,5.06,18.0,33.0,109.0,7.44,4.18,24.0,3.0,2004
36.0,477.0,13.3,7.0,19.9,78.0,269.0,4.89,17.0,30.0,106.0,7.86,4.45,23.0,6.0,2004
75.0,958.0,12.9,8.0,25.7,78.0,242.0,4.37,21.0,39.5,129.0,7.1,4.32,22.0,22.0,2005
