rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,78.0,1234.0,15.8,5.0,30.9,73.0,183.0,4.39,18.0,35.0,120.0,7.0,4.245,23.0,2.0,2001
266.0,1206.0,4.5,9.0,9.0,89.0,9.9,0.0,122.0,1807.0,14.4,14.5,46.2,72.0,193.0,4.42,8.0,35.0,120.0,6.96,4.07,22.0,0.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,112.0,1743.0,15.6,15.0,44.7,70.0,191.0,4.48,18.0,36.5,112.0,7.17,4.18,23.0,5.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,64.0,834.0,13.0,3.0,20.3,72.0,199.0,4.61,18.0,35.0,120.0,7.0,4.245,27.0,2.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,99.0,1747.0,17.6,13.0,56.4,72.0,197.0,4.22,18.0,35.0,120.0,7.0,4.245,21.0,22.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,61.0,815.0,13.4,10.0,38.8,77.0,255.0,4.64,18.0,35.0,120.0,7.0,4.245,22.0,35.0,2002
501.0,2974.0,5.9,33.0,31.0,343.0,11.1,3.0,122.0,1807.0,14.4,14.5,46.2,72.0,221.0,4.6,27.0,42.0,121.0,7.0,4.245,22.0,14.0,2002
580.0,3118.0,5.4,27.0,21.0,142.0,6.8,1.0,122.0,1807.0,14.4,14.5,46.2,72.0,254.0,4.45,18.0,35.0,120.0,7.0,4.245,21.0,18.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,194.0,3341.0,17.2,32.0,92.8,75.0,197.0,4.49,18.0,35.0,120.0,7.0,4.245,22.0,30.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,65.0,1257.0,19.3,10.0,62.9,75.0,210.0,4.38,18.0,39.5,128.0,6.86,4.05,23.0,25.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,106.0,1543.0,14.6,11.0,36.7,75.0,248.0,4.64,18.0,36.0,118.0,7.0,4.245,23.0,13.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,74.0,953.0,12.9,8.0,35.3,79.0,265.0,4.77,18.0,35.0,120.0,7.0,4.245,22.0,13.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,138.0,2375.0,17.2,27.0,103.3,73.0,193.0,4.56,18.0,35.0,120.0,6.87,4.06,21.0,14.0,2002
686.0,3049.0,4.4,39.0,57.0,535.0,9.4,4.0,122.0,1807.0,14.4,14.5,46.2,73.0,222.0,4.57,20.0,35.5,119.0,6.82,4.16,22.0,30.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,167.0,3001.0,18.0,17.0,96.8,70.0,210.0,4.54,18.0,35.0,120.0,7.0,4.245,22.0,27.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,57.0,842.0,14.8,4.0,29.0,72.0,190.0,4.32,18.0,39.0,126.0,6.68,3.93,22.0,9.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,103.0,1986.0,19.3,18.0,50.9,73.0,194.0,4.42,18.0,39.5,123.0,6.77,4.1,23.0,12.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,141.0,2088.0,14.8,18.0,59.7,72.0,194.0,4.53,18.0,41.5,130.0,7.0,4.1,23.0,11.0,2002
440.0,2523.0,5.7,20.0,21.0,272.0,13.0,3.0,122.0,1807.0,14.4,14.5,46.2,71.0,204.0,4.42,18.0,35.0,120.0,7.0,4.245,21.0,30.0,2002
429.0,2066.0,4.8,16.0,30.0,203.0,6.8,2.0,122.0,1807.0,14.4,14.5,46.2,71.0,208.0,4.53,23.0,38.5,119.0,7.0,4.245,22.0,18.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,52.0,768.0,14.8,11.0,23.3,76.0,251.0,4.6,18.0,38.0,117.0,6.9,4.18,23.0,9.0,2002
830.0,3682.0,4.4,25.0,71.0,692.0,9.7,2.0,122.0,1807.0,14.4,14.5,46.2,70.0,220.0,4.62,23.0,38.0,116.0,7.06,4.06,23.0,30.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,161.0,2805.0,17.4,26.0,90.5,73.0,188.0,4.57,18.0,37.0,121.0,7.0,4.245,21.0,8.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,143.0,2204.0,15.4,18.0,95.8,69.0,191.0,4.47,18.0,36.0,117.0,6.71,3.78,23.0,39.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,27.0,378.0,14.0,6.0,14.0,77.0,263.0,4.52,18.0,34.5,120.0,7.0,4.245,23.0,8.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,124.0,1862.0,15.0,10.0,66.5,71.0,185.0,4.36,18.0,35.0,120.0,7.0,4.245,23.0,0.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,127.0,1640.0,12.9,13.0,37.3,75.0,258.0,4.81,18.0,35.0,112.0,6.95,4.245,22.0,12.0,2002
439.0,2262.0,5.2,26.0,24.0,229.0,9.5,0.0,122.0,1807.0,14.4,14.5,46.2,73.0,243.0,4.52,18.0,35.0,120.0,7.0,4.245,23.0,11.0,2002
