rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
115.0,1526.0,13.3,15.0,31.1,74.0,225.0,4.41,19.0,36.0,122.0,6.93,4.2,22.0,0,2014
229.0,2506.0,10.9,14.0,59.7,69.0,192.0,4.46,20.0,39.0,122.0,6.77,4.01,23.0,0,2014
147.0,2224.5,14.9,17.0,57.4,75.0,219.0,4.42,20.0,37.5,123.0,6.64,3.98,23.0,0,2014
228.0,3463.0,15.2,31.0,88.8,73.0,211.0,4.42,15.0,33.0,120.0,6.71,3.98,21.0,1,2015
144.0,1954.0,13.6,15.0,85.0,75.0,215.0,4.35,23.0,36.5,123.0,6.92,4.14,23.0,0,2015
156.0,2775.0,17.8,33.0,64.5,75.0,209.0,4.45,17.0,36.5,125.0,6.93,4.2,22.0,1,2015
178.0,2572.0,14.4,20.0,64.3,72.0,198.0,4.42,12.0,36.0,122.0,6.93,4.2,22.0,1,2015
115.0,2243.0,19.5,16.0,57.5,74.0,212.0,4.47,15.0,36.0,122.0,6.93,4.2,21.0,0,2015
121.0,2132.0,17.6,17.0,48.5,70.0,185.0,4.33,13.0,37.0,122.0,6.7,4.11,22.0,0,2015
121.0,2503.0,20.7,30.0,46.4,72.0,196.0,4.42,10.0,39.0,122.0,6.93,4.15,23.0,0,2015
87.0,1278.0,14.7,17.0,51.1,77.0,237.0,4.49,13.0,33.5,119.0,6.89,4.45,22.0,0,2015
126.0,1715.0,13.6,15.0,46.4,76.0,232.0,4.7,17.0,38.5,122.0,6.93,4.2,21.0,1,2015
249.0,3710.0,14.9,29.0,78.9,70.0,182.0,4.4,15.0,35.5,121.0,6.89,4.07,22.0,1,2015
157.0,2287.0,14.6,17.0,88.0,74.0,217.0,4.44,15.0,42.0,123.0,6.93,4.2,21.0,0,2015
117.0,1938.0,16.6,20.0,39.6,74.0,213.0,4.35,18.0,45.0,139.0,7.06,4.3,22.0,0,2015
