Sk,Solo,Ast,Comb,TFL,Int,PD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
9.0,70.0,30.0,100.0,26.0,,,77.0,266.0,4.86,24.0,30.5,112.0,7.68,4.88,22.0,13.0,2009
6.0,105.0,79.0,184.0,26.0,,,75.0,321.0,4.93,24.0,28.0,103.0,7.9,4.78,23.0,18.0,2009
14.0,115.0,95.0,210.0,27.0,,,74.0,236.0,4.56,19.0,33.0,119.0,7.23,4.39,22.0,45.0,2009
10.0,54.0,46.0,100.0,20.5,,,73.0,310.0,4.93,36.0,32.0,103.0,8.01,4.74,22.0,15.0,2009
3.5,32.0,16.0,48.0,11.0,,,75.0,301.0,4.96,24.0,24.5,97.0,7.44,4.73,24.0,0.0,2009
2.0,94.0,70.0,164.0,15.5,,,71.0,229.0,4.65,30.0,33.0,110.0,6.98,4.2,22.0,12.0,2009
26.0,58.0,52.0,110.0,40.0,,,74.0,248.0,4.72,24.0,33.0,113.0,7.21,4.4,22.0,6.0,2009
7.0,40.0,36.0,76.0,13.0,,,77.0,272.0,4.76,22.0,30.5,105.0,7.4,4.47,22.0,5.0,2009
5.0,131.0,120.0,251.0,21.5,,,72.0,232.0,4.56,19.0,31.5,121.0,7.22,4.39,22.0,1.0,2009
22.0,58.0,27.0,85.0,30.5,,,74.0,261.0,4.78,24.0,33.0,112.0,7.23,4.49,21.0,0.0,2009
7.5,208.0,178.0,386.0,32.0,,,74.0,231.0,4.49,19.0,34.0,123.0,7.24,4.35,23.0,7.0,2009
5.5,118.0,53.0,171.0,24.0,,,73.0,239.0,4.6,20.0,34.0,120.0,7.23,4.32,23.0,1.0,2009
8.0,211.0,133.0,344.0,28.5,,,73.0,244.0,4.7,27.0,35.5,119.0,7.0,4.39,23.0,2.0,2009
7.5,142.0,51.0,193.0,20.0,,,74.0,252.0,4.67,26.0,35.5,114.0,7.03,4.32,24.0,16.0,2009
4.0,17.0,16.0,33.0,5.0,,,75.0,275.0,4.94,19.0,31.5,107.0,7.4,4.58,23.0,5.0,2009
15.0,53.0,42.0,95.0,23.0,,,74.0,261.0,4.84,27.0,33.0,115.0,7.38,4.45,23.0,3.0,2009
11.5,69.0,49.0,118.0,20.0,,,72.0,319.0,5.03,24.0,30.0,107.0,8.16,4.75,23.0,3.0,2009
13.0,69.0,41.0,110.0,26.5,,,74.0,304.0,5.32,29.0,33.0,116.0,7.23,4.39,22.0,9.0,2009
7.0,91.0,70.0,161.0,19.0,,,73.0,233.0,4.65,12.0,31.0,121.0,7.09,4.28,24.0,10.0,2009
22.5,155.0,89.0,244.0,50.0,,,74.0,236.0,4.69,24.0,37.0,117.0,7.31,4.39,22.0,2.0,2009
