Int,PD,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
3.0,14.5,60.0,72.0,203.0,4.4,22.0,36.0,119.0,6.94,4.16,23.0,8.0,2003
8.0,14.5,60.0,71.0,185.0,4.49,9.0,35.5,120.0,6.95,4.14,22.0,31.0,2003
5.0,14.5,60.0,74.0,208.0,4.55,13.0,34.5,122.0,6.99,4.03,23.0,13.0,2003
5.0,14.5,60.0,73.0,208.0,4.57,25.0,35.5,115.0,6.87,4.08,23.0,1.0,2003
5.0,14.5,60.0,72.0,196.0,4.48,13.0,34.5,119.0,6.95,4.15,23.0,4.0,2003
5.0,14.5,60.0,74.0,220.0,4.65,17.0,33.5,119.0,7.08,4.16,23.0,8.0,2003
11.0,14.5,60.0,71.0,184.0,4.67,11.0,31.0,109.0,7.05,4.29,23.0,0.0,2003
7.0,14.5,60.0,69.0,194.0,4.32,16.0,35.0,129.0,6.9,3.96,23.0,2.0,2003
5.0,14.5,60.0,72.0,216.0,4.64,16.0,36.5,112.0,7.13,4.3,22.0,3.0,2003
7.0,14.5,60.0,74.0,201.0,4.52,9.0,36.5,130.0,7.11,4.18,23.0,4.0,2003
3.0,14.5,60.0,72.0,218.0,4.61,16.0,35.0,113.0,6.94,4.16,23.0,25.0,2003
6.0,14.5,60.0,69.0,181.0,4.55,16.0,32.0,119.0,6.98,4.2,22.0,5.0,2003
8.0,14.5,60.0,72.0,216.0,4.56,19.0,36.0,120.0,7.04,4.16,22.0,0.0,2003
14.0,14.5,60.0,74.0,206.0,4.57,14.0,38.0,125.0,6.77,4.21,23.0,2.0,2003
14.0,14.5,60.0,74.0,230.0,4.51,16.0,36.0,122.0,6.94,4.16,21.0,32.0,2004
8.0,14.5,60.0,70.0,202.0,4.34,16.0,36.0,122.0,6.94,4.16,20.0,28.0,2004
5.0,14.5,60.0,71.0,186.0,4.34,15.0,36.0,120.0,6.97,3.75,22.0,23.0,2004
4.0,14.5,60.0,70.0,195.0,4.34,15.0,41.0,128.0,6.94,4.16,21.0,13.0,2004
6.0,14.5,60.0,73.0,198.0,4.52,16.0,36.0,122.0,6.94,4.16,21.0,44.0,2004
6.0,14.5,60.0,71.0,194.0,4.49,8.0,39.5,127.0,6.94,4.16,20.0,2.0,2004
6.0,14.5,60.0,68.0,204.0,4.35,15.0,41.5,128.0,6.7,3.91,23.0,32.0,2004
12.0,14.5,60.0,70.0,194.0,4.56,11.0,36.0,122.0,6.94,4.16,23.0,6.0,2004
7.0,14.5,60.0,72.0,193.0,4.48,18.0,36.0,125.0,6.94,4.16,22.0,18.0,2004
7.0,14.5,60.0,73.0,218.0,4.63,16.0,36.5,122.0,7.19,4.16,22.0,18.0,2004
12.0,14.5,60.0,74.0,218.0,4.47,18.0,38.0,124.0,6.68,3.89,23.0,15.0,2004
6.0,14.5,60.0,73.0,195.0,4.44,17.0,38.5,122.0,6.82,3.88,24.0,2.0,2004
6.0,14.5,60.0,71.0,201.0,4.48,12.0,36.5,116.0,6.94,4.16,24.0,6.0,2004
14.0,14.5,60.0,71.0,196.0,4.52,16.0,36.0,122.0,6.94,4.16,24.0,4.0,2004
8.0,14.5,60.0,74.0,209.0,4.54,15.0,36.0,122.0,6.94,4.16,21.0,2.0,2004
3.0,14.5,60.0,71.0,199.0,4.46,11.0,36.5,123.0,6.91,3.91,23.0,2.0,2004
4.0,14.5,60.0,70.0,204.0,4.46,20.0,39.0,124.0,6.94,4.16,23.0,1.0,2004
7.0,14.5,60.0,70.0,194.0,4.47,16.0,36.0,122.0,6.94,4.16,23.0,1.0,2004
17.0,14.5,60.0,70.0,177.0,4.49,16.0,36.0,122.0,6.94,4.16,22.0,28.0,2004
5.0,14.5,60.0,72.0,202.0,4.58,16.0,36.0,122.0,6.94,4.16,22.0,12.0,2004
3.0,14.5,60.0,71.0,203.0,4.56,16.0,36.0,122.0,6.94,4.16,23.0,2.0,2004
4.0,14.5,60.0,70.0,197.0,4.5,16.0,37.5,122.0,6.94,4.16,24.0,0.0,2004
4.0,14.5,60.0,73.0,222.0,4.65,20.0,36.0,122.0,6.94,4.16,23.0,10.0,2004
3.0,14.5,60.0,71.0,187.0,4.31,14.0,37.5,121.0,6.84,4.03,23.0,4.0,2004
3.0,14.5,60.0,72.0,197.0,4.47,15.0,36.0,120.0,6.94,4.16,22.0,21.0,2004
12.0,14.5,60.0,70.0,200.0,4.64,16.0,35.5,117.0,7.03,4.14,22.0,19.0,2004
6.0,14.5,60.0,70.0,189.0,4.62,12.0,36.0,121.0,7.0,3.88,23.0,0.0,2004
6.0,14.5,60.0,71.0,209.0,4.67,15.0,36.0,120.0,6.75,4.08,24.0,1.0,2004
11.0,14.5,60.0,70.0,185.0,4.46,11.0,34.5,115.0,7.05,4.06,23.0,1.0,2004
9.0,14.5,60.0,71.0,177.0,4.45,16.0,36.0,122.0,6.94,4.16,23.0,1.0,2004
11.0,14.5,60.0,72.0,197.0,4.57,16.0,39.5,116.0,7.15,4.0,23.0,0.0,2004
4.0,14.5,60.0,69.0,175.0,4.49,13.0,39.0,123.0,6.7,3.9,23.0,3.0,2004
11.0,14.5,60.0,72.0,204.0,4.6,11.0,37.0,121.0,7.28,4.07,22.0,8.0,2004
4.0,14.5,60.0,74.0,223.0,4.61,14.0,34.0,116.0,7.06,4.02,24.0,3.0,2004
8.0,14.5,60.0,69.0,187.0,4.38,16.0,36.0,122.0,6.94,4.16,21.0,13.0,2005
5.0,14.5,60.0,72.0,201.0,4.48,15.0,36.0,122.0,6.94,4.16,22.0,20.0,2005
7.0,14.5,60.0,72.0,196.0,4.44,15.0,40.5,126.0,6.48,3.82,24.0,26.0,2005
2.0,14.5,60.0,73.0,230.0,4.6,16.0,36.5,115.0,7.09,3.97,22.0,74.0,2005
6.0,14.5,60.0,71.0,197.0,4.43,18.0,36.0,122.0,7.15,4.1,22.0,79.0,2005
11.0,14.5,60.0,70.0,188.0,4.29,18.0,41.5,129.0,6.94,3.91,22.0,9.0,2005
9.0,14.5,60.0,73.0,198.0,4.52,23.0,36.0,125.0,6.95,3.96,22.0,14.0,2005
9.0,14.5,60.0,73.0,207.0,4.52,16.0,36.0,122.0,6.94,4.16,21.0,21.0,2005
7.0,14.5,60.0,73.0,193.0,4.27,16.0,36.5,129.0,6.63,3.9,22.0,19.0,2005
12.0,14.5,60.0,72.0,209.0,4.46,16.0,37.5,118.0,7.09,4.08,22.0,19.0,2005
16.0,14.5,60.0,72.0,199.0,4.5,9.0,36.0,122.0,6.94,4.16,23.0,33.0,2005
6.0,14.5,60.0,73.0,211.0,4.37,21.0,35.5,122.0,6.94,4.16,23.0,23.0,2005
6.0,14.5,60.0,71.0,206.0,4.36,11.0,40.0,118.0,6.94,4.16,22.0,48.0,2005
11.0,14.5,60.0,69.0,176.0,4.3,16.0,39.0,124.0,6.97,3.96,22.0,11.0,2005
4.0,14.5,60.0,70.0,197.0,4.45,17.0,34.0,111.0,6.87,3.9,22.0,21.0,2005
4.0,14.5,60.0,72.0,193.0,4.44,23.0,38.5,130.0,6.94,4.04,23.0,22.0,2005
