draft_year,pick,round,pos,G,age,avg_team_sp,qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,Sk,Solo,Ast,Comb,TFL,Int,PD
2022,161,5,LB,53.0,24.0,11.211627906976744,,,,,,,,,,,,,,,,,,,,,,,11.5,134.0,160.0,294.0,34.0,,
2022,175,5,DL,53.0,23.0,4.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,9.5,69.0,83.0,152.0,16.5,,
2019,76,3,WR,53.0,23.0,26.8625,,,,,,,,,,,,,,,,,,75.0,1251.0,16.7,19.0,23.6,,,,,,,
2022,221,6,CB,53.0,23.0,21.47254901960784,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,25.0
2018,113,4,WR,53.0,23.0,17.585106382978722,,,,,,,,,,,,,,,,,,214.0,2842.0,13.3,18.0,53.6,,,,,,,
2018,44,2,WR,53.0,22.0,19.66190476190476,,,,,,,,,,,,,,,,,,163.0,2256.0,13.8,24.0,42.6,,,,,,,
2019,142,5,LB,53.0,21.0,22.31463414634146,,,,,,,,,,,,,,,,,,,,,,,4.0,190.0,148.0,338.0,11.5,,
2010,84,3,WR,53.0,24.0,29.70434782608696,,,,,,,,,,,,,,,,,,248.0,3191.0,12.9,33.0,60.2,,,,,,,
2010,85,3,QB,53.0,24.0,29.01818181818182,1157.0,1645.0,70.3,13253.0,112.0,45.0,8.1,8.19,250.1,,,,,,,,,,,,,,,,,,,,
2018,64,2,DL,53.0,23.0,26.65,,,,,,,,,,,,,,,,,,,,,,,23.5,63.0,49.0,112.0,36.5,,
2006,37,2,DB,53.0,22.0,-3.490740740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
2017,133,4,WR,53.0,22.0,12.266336633663368,,,,,,,,,,,,,,,,,,244.0,2912.0,11.9,19.0,54.9,,,,,,,
2018,48,2,LB,53.0,21.0,19.8,,,,,,,,,,,,,,,,,,,,,,,12.5,94.0,74.0,168.0,20.5,,
2018,22,1,LB,53.0,22.0,32.6,,,,,,,,,,,,,,,,,,,,,,,15.0,85.0,67.0,152.0,23.5,,
2019,167,5,QB,53.0,24.0,4.225675675675675,991.0,1696.0,58.4,10731.0,61.0,45.0,6.3,5.85,202.5,,,,,,,,,,,,,,,,,,,,
2010,133,5,DB,53.0,22.0,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
2011,66,3,LB,53.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,120.0,68.0,188.0,62.5,,
2017,191,6,DB,53.0,22.0,3.1842105263157894,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,18.0
2015,241,7,DB,53.0,22.0,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,23.0
2011,68,3,LB,53.0,23.0,21.811111111111117,,,,,,,,,,,,,,,,,,,,,,,5.5,136.0,175.0,311.0,26.0,,
2017,149,5,DB,53.0,24.0,6.980645161290322,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,30.0
2017,151,5,DB,53.0,22.0,9.331914893617022,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,33.0
2011,50,2,DB,53.0,22.0,12.703448275862067,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2019,235,7,DL,53.0,23.0,21.2,,,,,,,,,,,,,,,,,,,,,,,6.0,57.0,96.0,153.0,17.0,,
2020,7,1,DL,53.0,22.0,17.835185185185185,,,,,,,,,,,,,,,,,,,,,,,13.0,88.0,82.0,170.0,33.5,,
2020,19,1,CB,53.0,24.0,28.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,22.0
2010,181,6,QB,53.0,23.0,,1171.0,1763.0,66.4,12905.0,102.0,36.0,7.3,7.56,243.5,,,,,,,,,,,,,,,,,,,,
2010,164,5,DB,53.0,23.0,15.169230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,
2015,121,4,DB,53.0,22.0,26.705882352941178,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0
2015,162,5,WR,53.0,23.0,21.063157894736843,,,,,,,,,,,,,,,,,,181.0,2689.0,14.9,21.0,50.7,,,,,,,
2015,181,6,DB,53.0,22.0,12.314285714285717,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0
2016,7,1,DL,53.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,109.0,122.0,231.0,35.5,,
2006,195,6,RB,53.0,22.0,,,,,,,,,,,2.0,5.0,2.5,0.0,51.0,450.0,8.8,5.0,,,,,,,,,,,,
2009,3,1,DL,53.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,17.0,52.0,69.0,121.0,26.5,,
2013,243,7,DB,53.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0
2010,109,4,DL,53.0,23.0,-1.480297366166875e-16,,,,,,,,,,,,,,,,,,,,,,,19.5,94.0,62.0,156.0,38.0,,
2013,140,5,RB,53.0,22.0,19.58888888888889,,,,,,,,,,843.0,4300.0,5.1,40.0,97.0,778.0,8.0,5.0,,,,,,,,,,,,
